State,Day,Clinton,Trump,Date,Pollster
Alabama,233.5,31,53,9/1/16,SurveyMonkey-24
Alabama,137,33,52,5/31/16,Morning Consult-31
Alabama,46,31,53,2/29/16,Morning Consult-29
Alabama,1,38,61,1/1/16,Election 2012-1
Alaska,274,31,36,10/2/16,Alaska Survey Research-5
Alaska,233.5,31,38,9/1/16,SurveyMonkey-24
Alaska,137,32,53,5/31/16,Morning Consult-31
Alaska,46,33,48,2/29/16,Morning Consult-29
Alaska,1,42,55,1/1/16,Election 2012-1
Arizona,288,39,37,10/14/16,HighGround-1
Arizona,286.5,43,38,10/15/16,Arizona State U.-6
Arizona,286,41,44,10/16/16,SurveyMonkey-9
Arizona,277,44,42,10/4/16,Emerson Coll.-3
Arizona,273,42,42,9/30/16,OH Predictive Insights-3
Arizona,251,38,40,9/8/16,Marist Coll.-3
Arizona,240,40,44,8/27/16,Gravis-1
Arizona,240,43,46,8/28/16,PPP-3
Arizona,239,40,39,8/27/16,OH Predictive Insights-3
Arizona,237,35,34,8/31/16,Arizona State U.-15
Arizona,233.5,38,45,8/23/16,Opinion Research-6
Arizona,233.5,37,39,9/1/16,SurveyMonkey-24
Arizona,216.5,42,44,8/5/16,YouGov-4
Arizona,214,45,42,8/1/16,OH Predictive Insights-1
Arizona,174.5,40,44,6/23/16,PPP-2
Arizona,172,47,42,6/20/16,OH Predictive Insights-1
Arizona,137,38,46,5/31/16,Morning Consult-31
Arizona,135,38,40,5/15/16,PPP-3
Arizona,98.5,42,35,4/11/16,Behavior Research Center-8
Arizona,69,38,38,3/11/16,Merrill/West Group-5
Arizona,46,39,46,2/29/16,Morning Consult-29
Arizona,1,44,54,1/1/16,Election 2012-1
Arkansas,260,34,55,9/17/16,Hendrix Coll.-3
Arkansas,255,29,57,9/13/16,Emerson Coll.-5
Arkansas,233.5,37,46,9/1/16,SurveyMonkey-24
Arkansas,173,36,47,6/21/16,Hendrix Coll.-1
Arkansas,137,37,47,5/31/16,Morning Consult-31
Arkansas,46,38,47,2/29/16,Morning Consult-29
Arkansas,1,37,61,1/1/16,Election 2012-1
California,288,56,30,10/15/16,SurveyUSA-3
California,271.5,59,33,9/28/16,SurveyUSA-2
California,257.5,47,31,9/18/16,Public Policy Inst. of Calif.-10
California,254,50,33,9/13/16,YouGov-7
California,253.5,57,32,9/11/16,SurveyUSA-4
California,248.5,49,29,9/8/16,Los Angeles Times-8
California,248.5,49,29,9/8/16,SurveyMonkey-8
California,233.5,49,28,9/1/16,SurveyMonkey-24
California,196.5,46,30,7/19/16,Public Policy Inst. of Calif.-10
California,172,50,26,7/2/16,Field Poll-25
California,153.5,48,33,6/3/16,YouGov-4
California,151,55,31,5/31/16,Marist Coll.-3
California,149.5,53,34,5/31/16,Field Poll-6
California,146,56,30,5/31/16,LA Times-13
California,141.5,52,38,5/22/16,SurveyUSA-4
California,138.5,49,39,5/22/16,Public Policy Inst. of Calif.-10
California,137,52,32,5/31/16,Morning Consult-31
California,131,45,33,5/16/16,Hoover Institution-13
California,119.5,56,34,4/30/16,SurveyUSA-4
California,92,60,26,4/3/16,SurveyUSA-5
California,89.5,59,31,4/4/16,Field Poll-12
California,79.5,57,30,3/23/16,LA Times-8
California,46,53,32,2/29/16,Morning Consult-29
California,1,59,38,1/1/16,Election 2012-1
Colorado,287,45,37,10/16/16,Quinnipiac U.-7
Colorado,286,44,37,10/16/16,SurveyMonkey-9
Colorado,274.5,49,38,10/2/16,Monmouth U.-4
Colorado,271.5,46,40,9/28/16,PPP-2
Colorado,266.5,41,42,9/25/16,Opinion Research-6
Colorado,266,40,39,9/23/16,YouGov-3
Colorado,261,44,42,9/21/16,Quinnipiac U.-9
Colorado,260,41,34,9/18/16,CMU-RMPBS-5
